Навзваниие колонки;Описание;Формат;
Предмет;Название предмета мебели;string;
Шт.;Необходимое количество данного предмета мебели;integer;
Комната ;Предполагаемое расположение мебели;string;
Цвет;Указание цвета предмета мебели;string;
Цена, руб;Стоимость;integer;
Ссылка;Ссылка на позицию в интернет-магазине;string;
;;;
;;;
